Time,Bearing 1
130.0,-0.161
130.00005,-0.315
130.0001,-0.186
130.00015,0.264
130.0002,0.405
130.00024,0.107
130.0003,-0.183
130.00035,-0.068
130.0004,0.251
130.00044,0.027
130.0005,-0.32
130.00055,-0.134
130.0006,0.266
130.00066,0.413
130.0007,0.125
130.00075,-0.154
130.0008,0.015
130.00085,0.076
130.0009,-0.09
130.00095,-0.378
130.001,-0.349
130.00105,-0.159
130.0011,-0.012
130.00114,-0.015
130.0012,0.015
130.00125,0.195
130.0013,0.278
130.00134,0.137
130.0014,0.076
130.00145,-0.042
130.0015,-0.039
130.00156,-0.037
130.0016,-0.183
130.00165,-0.193
130.0017,-0.068
130.00175,0.107
130.0018,0.002
130.00185,-0.256
130.0019,-0.103
130.00195,-0.015
130.002,-0.005
130.00204,-0.107
130.0021,-0.112
130.00215,-0.02
130.0022,0.059
130.00224,0.156
130.0023,0.251
130.00235,0.164
130.0024,0.103
130.00246,0.232
130.0025,0.208
130.00255,0.09
130.0026,0.066
130.00266,0.063
130.0027,-0.024
130.00275,-0.137
130.0028,-0.059
130.00285,0.071
130.0029,0.034
130.00294,-0.061
130.003,-0.11
130.00305,-0.093
130.0031,-0.063
130.00314,-0.085
130.0032,-0.178
130.00325,-0.166
130.0033,-0.1
130.00336,-0.044
130.0034,-0.051
130.00345,0.034
130.0035,0.078
130.00356,0.093
130.0036,0.103
130.00365,-0.081
130.0037,-0.217
130.00375,-0.044
130.0038,0.164
130.00385,0.122
130.0039,-0.032
130.00395,-0.146
130.004,0.007
130.00404,0.361
130.0041,0.361
130.00415,-0.103
130.0042,-0.52
130.00426,-0.085
130.0043,0.083
130.00435,0.049
130.0044,-0.354
130.00446,0.012
130.0045,0.41
130.00455,0.227
130.0046,-0.149
130.00465,-0.266
130.0047,-0.122
130.00475,0.083
130.0048,-0.129
130.00485,-0.315
130.0049,-0.068
130.00494,0.266
130.005,0.295
130.00505,0.051
130.0051,0.022
130.00516,0.168
130.0052,0.142
130.00525,0.012
130.0053,-0.156
130.00536,-0.112
130.0054,0.115
130.00545,0.149
130.0055,0.051
130.00555,0.027
130.0056,0.164
130.00565,0.156
130.0057,-0.002
130.00575,-0.02
130.0058,-0.054
130.00584,-0.044
130.0059,-0.093
130.00595,-0.164
130.006,-0.156
130.00604,-0.083
130.0061,-0.073
130.00615,-0.105
130.0062,-0.049
130.00626,0.117
130.0063,0.144
130.00635,-0.017
130.0064,0.037
130.00645,-0.098
130.0065,-0.049
130.00655,0.054
130.0066,0.032
130.00665,0.095
130.0067,0.173
130.00674,0.088
130.0068,0.129
130.00685,-0.029
130.0069,-0.083
130.00694,-0.024
130.007,0.054
130.00705,0.022
130.0071,-0.022
130.00716,0.083
130.0072,0.117
130.00725,0.146
130.0073,0.017
130.00735,-0.115
130.0074,0.029
130.00745,-0.032
130.0075,-0.166
130.00755,-0.195
130.0076,-0.066
130.00764,-0.098
130.0077,-0.178
130.00775,-0.117
130.0078,-0.188
130.00784,-0.071
130.0079,0.066
130.00795,0.066
130.008,-0.083
130.00806,-0.078
130.0081,0.166
130.00815,0.186
130.0082,0.186
130.00826,0.112
130.0083,0.071
130.00835,0.024
130.0084,0.481
130.00845,0.154
130.0085,-0.1
130.00854,-0.259
130.0086,-0.063
130.00865,-0.142
130.0087,-0.361
130.00874,-0.132
130.0088,0.049
130.00885,0.146
130.0089,-0.01
130.00896,-0.12
130.009,-0.122
130.00905,-0.01
130.0091,0.115
130.00916,-0.159
130.0092,-0.205
130.00925,0.105
130.0093,0.366
130.00935,0.315
130.0094,0.181
130.00945,0.166
130.0095,0.254
130.00955,0.173
130.0096,-0.056
130.00964,-0.264
130.0097,-0.188
130.00975,-0.029
130.0098,0.005
130.00986,-0.105
130.0099,-0.073
130.00995,0.107
130.01,0.115
130.01006,0.029
130.0101,0.073
130.01015,0.02
130.0102,0.017
130.01025,-0.024
130.0103,-0.198
130.01035,-0.181
130.0104,-0.044
130.01045,0.015
130.0105,0.056
130.01054,-0.029
130.0106,0.007
130.01065,0.134
130.0107,0.051
130.01076,-0.137
130.0108,-0.234
130.01085,-0.134
130.0109,-0.02
130.01096,0.027
130.011,0.122
130.01105,0.144
130.0111,0.1
130.01115,0.127
130.0112,0.088
130.01125,0.046
130.0113,0.12
130.01135,0.105
130.0114,0.037
130.01144,0.139
130.0115,0.164
130.01155,0.164
130.0116,0.044
130.01164,-0.015
130.0117,0.024
130.01175,0.005
130.0118,-0.176
130.01186,-0.3
130.0119,-0.21
130.01195,-0.168
130.012,-0.068
130.01205,-0.12
130.0121,-0.166
130.01215,-0.144
130.0122,0.066
130.01225,0.208
130.0123,0.051
130.01234,-0.195
130.0124,-0.137
130.01245,0.12
130.0125,0.527
130.01254,0.256
130.0126,-0.032
130.01265,0.073
130.0127,0.391
130.01276,0.381
130.0128,-0.095
130.01285,-0.276
130.0129,-0.261
130.01295,0.256
130.013,-0.002
130.01305,-0.569
130.0131,-0.505
130.01315,0.251
130.0132,0.464
130.01324,0.056
130.0133,-0.229
130.01335,-0.115
130.0134,0.176
130.01344,0.166
130.0135,-0.09
130.01355,-0.186
130.0136,0.312
130.01366,0.391
130.0137,0.09
130.01375,-0.032
130.0138,0.244
130.01385,0.317
130.0139,-0.044
130.01395,-0.403
130.014,-0.447
130.01405,-0.103
130.0141,0.166
130.01414,0.022
130.0142,-0.19
130.01425,0.049
130.0143,0.298
130.01434,0.239
130.0144,-0.081
130.01445,-0.103
130.0145,0.054
130.01456,0.127
130.0146,-0.068
130.01465,-0.127
130.0147,0.034
130.01476,0.149
130.0148,0.042
130.01485,-0.076
130.0149,-0.125
130.01495,0.005
130.015,0.068
130.01505,-0.09
130.0151,-0.242
130.01515,-0.19
130.0152,0.044
130.01524,0.024
130.0153,0.063
130.01535,0.015
130.0154,0.107
130.01546,0.259
130.0155,0.261
130.01555,0.076
130.0156,-0.044
130.01566,0.098
130.0157,0.164
130.01575,0.039
130.0158,-0.085
130.01585,0.01
130.0159,0.122
130.01595,0.061
130.016,-0.103
130.01605,-0.164
130.0161,-0.107
130.01614,-0.002
130.0162,-0.017
130.01625,-0.117
130.0163,-0.166
130.01636,-0.088
130.0164,0.078
130.01645,-0.051
130.0165,-0.117
130.01656,0.005
130.0166,0.254
130.01665,0.195
130.0167,-0.017
130.01675,-0.217
130.0168,-0.044
130.01685,0.405
130.0169,0.33
130.01695,0.0
130.017,-0.154
130.01704,0.173
130.0171,0.403
130.01715,0.125
130.0172,-0.364
130.01724,-0.43
130.0173,-0.034
130.01735,0.027
130.0174,-0.3
130.01746,-0.146
130.0175,0.154
130.01755,0.32
130.0176,0.017
130.01765,-0.291
130.0177,-0.093
130.01775,0.171
130.0178,0.159
130.01785,-0.188
130.0179,-0.31
130.01794,0.159
130.018,0.486
130.01805,0.198
130.0181,-0.088
130.01814,-0.107
130.0182,0.171
130.01825,0.146
130.0183,-0.32
130.01836,-0.432
130.0184,-0.005
130.01845,0.178
130.0185,0.02
130.01855,-0.125
130.0186,0.032
130.01865,0.3
130.0187,0.222
130.01875,0.039
130.0188,-0.093
130.01884,-0.005
130.0189,0.093
130.01895,-0.024
130.019,-0.139
130.01904,-0.115
130.0191,-0.059
130.01915,-0.015
130.0192,0.0
130.01926,-0.125
130.0193,-0.071
130.01935,-0.046
130.0194,-0.132
130.01945,-0.154
130.0195,-0.115
130.01955,-0.112
130.0196,0.063
130.01965,0.227
130.0197,0.11
130.01974,-0.051
130.0198,0.066
130.01985,0.232
130.0199,0.125
130.01994,0.029
130.02,0.103
130.02005,0.049
130.0201,0.1
130.02016,0.139
130.0202,0.02
130.02025,-0.002
130.0203,-0.054
130.02036,0.017
130.0204,0.007
130.02045,-0.078
130.0205,-0.076
130.02055,-0.063
130.0206,-0.066
130.02065,-0.095
130.0207,-0.083
130.02075,-0.005
130.0208,0.105
130.02084,0.032
130.0209,-0.056
130.02095,-0.061
130.021,-0.09
130.02106,0.0
130.0211,-0.156
130.02115,-0.171
130.0212,0.178
130.02126,0.427
130.0213,-0.02
130.02135,-0.115
130.0214,0.139
130.02145,0.19
130.0215,0.022
130.02155,-0.295
130.0216,-0.2
130.02165,-0.059
130.0217,-0.039
130.02174,-0.251
130.0218,-0.251
130.02185,-0.024
130.0219,0.142
130.02196,0.017
130.022,-0.183
130.02205,-0.166
130.0221,0.076
130.02216,-0.005
130.0222,-0.229
130.02225,-0.09
130.0223,0.298
130.02235,0.356
130.0224,0.227
130.02245,0.076
130.0225,0.112
130.02255,0.225
130.0226,0.159
130.02264,-0.134
130.0227,-0.298
130.02275,-0.139
130.0228,0.012
130.02284,0.056
130.0229,-0.051
130.02295,0.029
130.023,0.117
130.02306,0.098
130.0231,-0.044
130.02315,-0.112
130.0232,-0.022
130.02325,-0.09
130.0233,-0.088
130.02335,-0.1
130.0234,-0.159
130.02345,-0.129
130.0235,0.024
130.02354,0.037
130.0236,-0.015
130.02365,-0.088
130.0237,-0.132
130.02374,-0.107
130.0238,-0.032
130.02385,-0.007
130.0239,-0.081
130.02396,-0.081
130.024,-0.093
130.02405,-0.027
130.0241,0.02
130.02415,0.066
130.0242,0.044
130.02425,0.083
130.0243,0.085
130.02435,0.085
130.0244,0.115
130.02444,0.129
130.0245,0.1
130.02455,0.105
130.0246,0.095
130.02464,0.122
130.0247,0.088
130.02475,-0.051
130.0248,-0.149
130.02486,-0.049
130.0249,-0.168
130.02495,-0.208
130.025,-0.215
130.02505,-0.212
130.0251,-0.134
130.02515,-0.061
130.0252,-0.073
130.02525,-0.09
130.0253,-0.01
130.02534,0.071
130.0254,-0.117
130.02545,0.029
130.0255,0.178
130.02554,0.195
130.0256,0.073
130.02565,0.0
130.0257,0.186
130.02576,0.237
130.0258,0.322
130.02585,0.042
130.0259,-0.366
130.02596,-0.33
130.026,-0.132
130.02605,-0.134
130.0261,-0.315
130.02615,-0.154
130.0262,0.107
130.02625,0.103
130.0263,-0.139
130.02635,-0.159
130.0264,0.015
130.02644,0.186
130.0265,0.051
130.02655,-0.156
130.0266,0.002
130.02666,0.378
130.0267,0.442
130.02675,0.137
130.0268,0.081
130.02686,0.203
130.0269,0.093
130.02695,-0.105
130.027,-0.21
130.02705,-0.139
130.0271,-0.125
130.02715,-0.215
130.0272,-0.21
130.02725,0.046
130.0273,0.242
130.02734,0.247
130.0274,0.037
130.02745,-0.02
130.0275,0.032
130.02756,0.081
130.0276,-0.037
130.02765,-0.208
130.0277,-0.176
130.02776,0.142
130.0278,0.247
130.02785,0.02
130.0279,-0.129
130.02795,-0.083
130.028,0.112
130.02805,-0.029
130.0281,-0.269
130.02815,-0.19
130.0282,-0.19
130.02824,-0.051
130.0283,-0.005
130.02835,-0.017
130.0284,0.032
130.02844,0.154
130.0285,0.146
130.02855,-0.029
130.0286,0.012
130.02866,0.012
130.0287,0.159
130.02875,0.178
130.0288,0.017
130.02885,0.078
130.0289,0.186
130.02895,0.183
130.029,0.002
130.02905,-0.122
130.0291,-0.107
130.02914,-0.063
130.0292,-0.11
130.02925,-0.244
130.0293,-0.3
130.02934,-0.222
130.0294,-0.095
130.02945,-0.017
130.0295,0.002
130.02956,-0.107
130.0296,0.037
130.02965,0.239
130.0297,0.098
130.02975,-0.12
130.0298,0.002
130.02985,0.276
130.0299,0.3
130.02995,0.103
130.03,-0.12
130.03004,0.107
130.0301,0.266
130.03015,0.288
130.0302,0.017
130.03024,-0.459
130.0303,-0.374
130.03035,0.032
130.0304,-0.027
130.03046,-0.481
130.0305,-0.42
130.03055,0.159
130.0306,0.356
130.03065,0.044
130.0307,-0.078
130.03075,0.049
130.0308,0.22
130.03085,0.159
130.0309,-0.225
130.03094,-0.237
130.031,0.281
130.03105,0.43
130.0311,0.105
130.03114,-0.151
130.0312,-0.012
130.03125,0.242
130.0313,-0.044
130.03136,-0.42
130.0314,-0.432
130.03145,-0.134
130.0315,0.125
130.03156,0.0
130.0316,-0.1
130.03165,0.054
130.0317,0.269
130.03175,0.225
130.0318,0.029
130.03185,-0.093
130.0319,0.0
130.03195,0.056
130.032,-0.173
130.03204,-0.144
130.0321,-0.039
130.03215,-0.015
130.0322,-0.078
130.03226,-0.11
130.0323,-0.127
130.03235,-0.098
130.0324,-0.127
130.03246,-0.195
130.0325,-0.234
130.03255,-0.117
130.0326,0.098
130.03265,0.122
130.0327,0.078
130.03275,0.024
130.0328,0.049
130.03285,0.247
130.0329,0.337
130.03294,0.151
130.033,-0.139
130.03305,-0.181
130.0331,-0.015
130.03316,0.103
130.0332,0.166
130.03325,0.049
130.0333,-0.066
130.03336,-0.051
130.0334,-0.073
130.03345,-0.095
130.0335,-0.034
130.03355,-0.081
130.0336,-0.146
130.03365,-0.034
130.0337,-0.007
130.03375,-0.083
130.0338,-0.01
130.03384,-0.005
130.0339,-0.071
130.03395,-0.105
130.034,0.061
130.03406,-0.007
130.0341,-0.105
130.03415,-0.139
130.0342,-0.01
130.03426,-0.049
130.0343,0.137
130.03435,0.208
130.0344,-0.117
130.03445,-0.076
130.0345,0.264
130.03455,0.31
130.0346,-0.005
130.03465,-0.352
130.0347,-0.2
130.03474,0.02
130.0348,0.037
130.03485,-0.203
130.0349,-0.142
130.03494,0.166
130.035,0.229
130.03505,-0.173
130.0351,-0.364
130.03516,-0.125
130.0352,0.154
130.03525,-0.083
130.0353,-0.286
130.03535,-0.054
130.0354,0.315
130.03545,0.244
130.0355,0.061
130.03555,0.044
130.0356,0.168
130.03564,0.146
130.0357,-0.115
130.03575,-0.261
130.0358,-0.168
130.03584,0.139
130.0359,0.154
130.03595,0.02
130.036,-0.022
130.03606,0.164
130.0361,0.232
130.03615,0.044
130.0362,-0.132
130.03625,-0.112
130.0363,-0.037
130.03635,0.022
130.0364,-0.11
130.03645,-0.237
130.0365,-0.1
130.03654,-0.02
130.0366,0.002
130.03665,-0.081
130.0367,-0.046
130.03674,0.063
130.0368,-0.032
130.03685,-0.164
130.0369,-0.203
130.03696,-0.01
130.037,0.12
130.03705,-0.027
130.0371,0.071
130.03716,0.103
130.0372,0.122
130.03725,0.083
130.0373,-0.11
130.03735,-0.095
130.0374,0.034
130.03745,0.09
130.0375,0.032
130.03755,-0.02
130.0376,-0.051
130.03764,0.046
130.0377,0.105
130.03775,0.059
130.0378,-0.056
130.03786,-0.024
130.0379,-0.083
130.03795,-0.154
130.038,-0.129
130.03806,-0.19
130.0381,-0.103
130.03815,-0.085
130.0382,-0.127
130.03825,-0.154
130.0383,-0.103
130.03835,0.051
130.0384,0.085
130.03845,-0.037
130.0385,-0.059
130.03854,-0.134
130.0386,0.051
130.03865,0.281
130.0387,0.322
130.03876,0.1
